ID,NOMBRE,NUM INTERSECCIONES
4827820,PLAZA 2 DE MAYO,11
4827822,PLAZA RAMON CASTILLA,1
4827827,ALFONSO UGARTE,15
4827828,ALFONSO UGARTE,12
4827829,ALFONSO UGARTE,4
4827832,ALFONSO UGARTE,1
4827838,ALFONSO UGARTE,1
4827843,PLAZA FRANCISCO BOLOGNESI,15
4827844,ALFONSO UGARTE,2
4827845,PUENTE DEL EJERCITO,1
4827846,ALFONSO UGARTE,1
4827847,PUENTE DEL EJERCITO,1
4827849,VICENTE MORALES DUAREZ,31
4827850,ALFONSO UGARTE,1
4827860,CIRCUNVALACION,3
4827863,AVENIDA CAQUETA,3
4827876,AV. ZARUMILLA,3
4827878,HECTOR GARCIA RIBEYRO,1
4827883,EL TREBOL,6
4827892,AVENIDA CAQUETA,11
4827894,AVENIDA TUPAC AMARU,54
4827895,FRANCISO PIZARRO,21
4827896,DIEGO CORDOVA DE SALINAS,6
4827908,MARACAIBO,11
4827909,AV. PANAMERICANA NORTE,9
4827926,VIA DE EVITAMIENTO,6
4827929,AV. PANAMERICANA NORTE,2
4827937,AV. JOSÉ GRANDA,23
4827949,VIA DE EVITAMIENTO,6
4827951,VIA DE EVITAMIENTO,1
4828013,AVENIDA ARGENTINA,13
4828021,EMANCIPACION,5
4828025,OSCAR BENAVIDES,21
4828026,OSCAR BENAVIDES,3
4828352,AVENIDA ENRIQUE FERMI,6
4828405,AV. FRANCISO BOLOGNESI,9
4828407,AV. ANGÉLICA GAMARRA,22
4828408,AV. INDUSTRIAL,17
4828411,AV. INDUSTRIAL,7
4828501,CALLE GERARDO UNGER,19
4828731,NARANJAL,4
4828738,NARANJAL,3
4828743,AV. NARANJAL,10
4828763,AV. ANGÉLICA GAMARRA,22
4828802,AV. BOCANEGRA,20
4831287,AV. SANTIAGO ANTUNEZ DE MAYOLO,24
4831299,AV. LAS PALMERAS,39
4831340,AV. LOS DOMINICOS,22
4831347,AV. SAENZ PEÑA,4
4831356,ALEJANDRO BERTELLO BOLLATI,21
4831386,AV. JOSÉ GRANDA,13
4831397,AVENIDA PERU,16
4831400,AV. PERÚ,19
4832777,VIA DE EVITAMIENTO,1
4832854,AV. 9 DE OCTUBRE,10
4832866,ABANCAY,1
4832867,ABANCAY,15
4832868,ABANCAY,1
4832881,METROPOLITANA,14
4832882,METROPOLITANA,10
4832890,AV. UNIVERSITARIA,56
4832968,AV. SANTIAGO ANTUNEZ DE MAYOLO,20
4832972,AV. TOMAS VALLE,26
4832976,JOSE GRANDA,8
4832980,AV. CANTA CALLAO,33
4832984,AV. UNIVERSITARIA,114
4832991,AVENIDA UNIVERSITARIA,28
11979291,AURELIO MIRO QUESADA,14
11979547,ORRANTIA,5
11979621,SANTA CRUZ,10
11979631,REPUBLICA DE PANAMA,3
11979694,AV. ARAMBURÚ,4
11980143,PLACENCIA,5
11980154,LA NIÑA,1
11980165,CAVERO,3
11980238,SANTA MARIA,1
11980258,RAYMUNDO MORALES DE LA TORRE,6
11980556,LIZARDO ALZAMORA ESTE,10
11980676,JOSÉ CHOQUEHUANCA,20
11980702,ANTERO ASPILLAGA,4
11980717,ENRIQUE PAILLARDELLE,4
11980743,LA HABANA,8
11981788,JOSÉ LARCO,6
11981820,TUNEL SANTA ROSA,1
11981861,9 DE DICIEMBRE,5
11981891,9 DE DICIEMBRE,5
11985087,AV. ZARUMILLA,10
11985865,PASEO DE LA REPÚBLICA,18
11985886,PASEO DE LA REPÚBLICA,22
11986252,AREQUIPA,27
11986321,AREQUIPA,33
11986518,OVALO DE MIRAFLORES,7
11986778,DIAGONAL,6
11987056,MALECÓN DE LA MARINA,13
11987159,ALFREDO BENAVIDES,8
11988366,PEZET,11
11988370,CERVANTES,9
11988505,PANCHO FIERRO,1
11988547,ANTERO ASPILLAGA,5
11988566,FLORIDA,2
11988580,TACNA,8
11988611,CHACARILLA,6
11989209,SANTA CRUZ,7
11989273,OVALO GUITERREZ,7
11989414,JOSÉ PARDO,10
11989455,PLAZA CENTRO AMÉRICA,9
12561291,AV RICARDO PALMA,5
12561298,AV RICARDO PALMA,1
12561310,AV RICARDO PALMA,3
12561317,AV RICARDO PALMA,2
12561318,AV RICARDO PALMA,4
12561540,MANCO CAPAC,8
12561875,DALIAS,4
14073402,VASCO NUÑEZ DE BALBOA,5
14073892,CA. PORTA,11
14073918,AV. 28 DE JULIO,4
